WEGE3.SA;NTCO3.SA;TOTS3.SA;EGIE3.SA;YDUQ3.SA;BRAP4.SA;UGPA3.SA;ENGI11.SA;MRFG3.SA;LWSA3.SA;BBDC4.SA;CCRO3.SA;BBSE3.SA;PETZ3.SA;SIMH3.SA;TIMS3.SA;MULT3.SA;CMIN3.SA;BEEF3.SA;EMBR3.SA
38.099998474121094;10.640000343322754;25.889999389648438;37.31999969482422;9.789999961853027;29.780000686645508;11.949999809265137;42.689998626708984;8.359999656677246;6.420000076293945;14.75;10.289999961853027;33.38999938964844;5.900000095367432;6.329999923706055;11.979999542236328;20.709999084472656;4.039999961853027;12.699999809265137;14.300000190734863
37.150001525878906;10.119999885559082;25.0;36.97999954223633;9.170000076293945;29.559999465942383;11.760000228881836;42.08000183105469;8.1899995803833;5.980000019073486;14.0;10.0600004196167;32.349998474121094;5.659999847412109;6.039999961853027;11.6899995803833;20.049999237060547;3.990000009536743;12.34000015258789;14.569999694824219
37.400001525878906;11.020000457763672;25.729999542236328;37.0;9.289999961853027;29.84000015258789;12.039999961853027;41.540000915527344;8.350000381469727;5.989999771118164;14.039999961853027;10.1899995803833;32.5099983215332;5.78000020980835;6.25;11.899999618530273;20.389999389648438;3.9800000190734863;12.8100004196167;14.970000267028809
37.47999954223633;11.699999809265137;26.899999618530273;36.7599983215332;9.40999984741211;30.579999923706055;12.199999809265137;41.5;8.470000267028809;6.539999961853027;14.649999618530273;10.329999923706055;32.58000183105469;6.0;6.5;11.789999961853027;20.93000030517578;4.050000190734863;13.079999923706055;14.800000190734863
38.029998779296875;12.25;27.34000015258789;36.869998931884766;9.75;30.690000534057617;12.34000015258789;41.290000915527344;8.449999809265137;6.5;15.0600004196167;10.449999809265137;33.529998779296875;6.179999828338623;6.78000020980835;11.9399995803833;21.489999771118164;4.300000190734863;13.270000457763672;14.550000190734863
37.91999816894531;12.149999618530273;27.860000610351562;37.779998779296875;9.640000343322754;31.06999969482422;12.300000190734863;41.31999969482422;8.34000015258789;6.550000190734863;14.65999984741211;10.430000305175781;33.689998626708984;6.139999866485596;6.849999904632568;11.949999809265137;21.219999313354492;4.260000228881836;13.350000381469727;14.8100004196167
37.54999923706055;12.59000015258789;28.829999923706055;37.849998474121094;9.770000457763672;31.709999084472656;12.720000267028809;41.220001220703125;8.579999923706055;6.869999885559082;15.100000381469727;10.869999885559082;34.20000076293945;6.5;7.179999828338623;11.869999885559082;21.8700008392334;4.539999961853027;13.449999809265137;15.09000015258789
38.599998474121094;12.699999809265137;29.149999618530273;38.869998931884766;9.699999809265137;31.760000228881836;13.140000343322754;42.099998474121094;8.640000343322754;6.599999904632568;15.399999618530273;11.359999656677246;34.400001525878906;6.389999866485596;7.260000228881836;11.699999809265137;22.719999313354492;4.519999980926514;14.489999771118164;15.59000015258789
38.5099983215332;12.34000015258789;28.59000015258789;38.810001373291016;9.579999923706055;31.950000762939453;13.119999885559082;43.560001373291016;8.640000343322754;6.5;15.039999961853027;11.649999618530273;34.290000915527344;6.309999942779541;7.039999961853027;11.859999656677246;22.31999969482422;4.53000020980835;14.569999694824219;15.710000038146973
38.970001220703125;12.239999771118164;28.15999984741211;37.84000015258789;9.260000228881836;31.739999771118164;12.59000015258789;41.95000076293945;8.369999885559082;6.460000038146973;14.989999771118164;11.479999542236328;34.20000076293945;6.170000076293945;6.909999847412109;11.630000114440918;21.90999984741211;4.579999923706055;15.25;15.75
