ELET3.SA;JBSS3.SA;AURE3.SA;VALE3.SA;ECOR3.SA;VIVA3.SA;CYRE3.SA;CVCB3.SA;RENT3.SA;SBSP3.SA;RDOR3.SA;USIM5.SA;WEGE3.SA;MRVE3.SA;AZUL4.SA;PETR3.SA;VIVT3.SA;ARZZ3.SA;RADL3.SA;B3SA3.SA;YDUQ3.SA;VBBR3.SA;LREN3.SA;BBSE3.SA;CPFE3.SA;SUZB3.SA;MGLU3.SA;EZTC3.SA;CCRO3.SA;MOVI3.SA
40.59000015258789;21.450000762939453;14.479999542236328;89.4000015258789;4.239999771118164;20.760000228881836;12.850000381469727;4.25;51.25;53.45000076293945;27.079999923706055;7.03000020980835;38.099998474121094;7.340000152587891;10.300000190734863;26.170000076293945;36.38999938964844;74.12000274658203;22.36538314819336;12.25;9.789999961853027;14.699999809265137;19.329999923706055;33.38999938964844;32.189998626708984;48.97999954223633;2.5899999141693115;12.880000114440918;10.289999961853027;7.179999828338623
39.83000183105469;20.989999771118164;14.220000267028809;89.23999786376953;4.050000190734863;20.149999618530273;12.279999732971191;3.9800000190734863;49.9900016784668;52.939998626708984;25.739999771118164;6.949999809265137;37.150001525878906;7.170000076293945;10.15999984741211;25.799999237060547;35.65999984741211;71.80999755859375;21.942306518554688;11.84000015258789;9.170000076293945;14.260000228881836;18.8700008392334;32.349998474121094;31.790000915527344;49.849998474121094;2.5399999618530273;12.59000015258789;10.0600004196167;6.880000114440918
40.900001525878906;21.299999237060547;14.5;89.4000015258789;4.130000114440918;20.25;12.760000228881836;4.25;50.58000183105469;53.349998474121094;26.139999389648438;7.090000152587891;37.400001525878906;7.409999847412109;10.5600004196167;26.229999542236328;36.439998626708984;73.45999908447266;21.826923370361328;11.930000305175781;9.289999961853027;14.680000305175781;18.989999771118164;32.5099983215332;32.15999984741211;49.95000076293945;2.549999952316284;13.149999618530273;10.1899995803833;7.179999828338623
40.97999954223633;22.100000381469727;14.569999694824219;90.9000015258789;4.25;20.450000762939453;13.100000381469727;4.349999904632568;51.0;54.68000030517578;27.649999618530273;7.510000228881836;37.47999954223633;7.480000019073486;11.550000190734863;27.079999923706055;37.41999816894531;74.33999633789062;22.509614944458008;12.300000190734863;9.40999984741211;14.75;18.700000762939453;32.58000183105469;32.20000076293945;50.2599983215332;2.6600000858306885;13.140000343322754;10.329999923706055;7.429999828338623
41.0;22.209999084472656;14.579999923706055;92.33999633789062;4.489999771118164;21.049999237060547;13.710000038146973;4.619999885559082;51.970001220703125;54.93000030517578;27.940000534057617;7.590000152587891;38.029998779296875;7.550000190734863;11.84000015258789;26.90999984741211;38.220001220703125;75.80000305175781;22.971153259277344;12.59000015258789;9.75;14.850000381469727;19.389999389648438;33.529998779296875;31.860000610351562;49.939998626708984;2.759999990463257;13.520000457763672;10.449999809265137;7.840000152587891
41.29999923706055;22.8799991607666;14.34000015258789;92.44000244140625;4.46999979019165;21.079999923706055;13.579999923706055;4.849999904632568;51.90999984741211;55.029998779296875;27.440000534057617;7.619999885559082;37.91999816894531;7.550000190734863;12.0;27.09000015258789;38.099998474121094;75.02999877929688;22.75;12.420000076293945;9.640000343322754;14.720000267028809;19.440000534057617;33.689998626708984;32.150001525878906;50.61000061035156;2.8299999237060547;13.319999694824219;10.430000305175781;7.809999942779541
40.900001525878906;22.649999618530273;14.1899995803833;93.58000183105469;4.730000019073486;22.309999465942383;13.930000305175781;5.079999923706055;53.58000183105469;55.189998626708984;27.100000381469727;7.900000095367432;37.54999923706055;7.829999923706055;12.34000015258789;27.25;38.5;77.06999969482422;23.086538314819336;12.859999656677246;9.770000457763672;14.890000343322754;20.020000457763672;34.20000076293945;31.739999771118164;49.97999954223633;3.049999952316284;13.680000305175781;10.869999885559082;8.09000015258789
42.75;22.40999984741211;14.680000305175781;93.25;4.860000133514404;22.110000610351562;14.140000343322754;5.03000020980835;55.02000045776367;55.83000183105469;27.399999618530273;7.849999904632568;38.599998474121094;7.820000171661377;12.350000381469727;27.600000381469727;38.81999969482422;79.0;23.336538314819336;13.449999809265137;9.699999809265137;15.039999961853027;20.81999969482422;34.400001525878906;32.560001373291016;49.25;3.0299999713897705;13.739999771118164;11.359999656677246;8.0
42.369998931884766;22.030000686645508;15.0600004196167;93.73999786376953;4.670000076293945;21.790000915527344;14.109999656677246;4.889999866485596;54.529998779296875;55.16999816894531;26.850000381469727;7.880000114440918;38.5099983215332;7.590000152587891;12.319999694824219;27.75;38.810001373291016;79.5999984741211;23.125;13.369999885559082;9.579999923706055;15.100000381469727;21.239999771118164;34.290000915527344;32.29999923706055;50.2599983215332;3.190000057220459;13.779999732971191;11.649999618530273;7.809999942779541
41.58000183105469;21.5;14.789999961853027;93.81999969482422;4.46999979019165;20.979999542236328;13.760000228881836;4.599999904632568;53.709999084472656;54.70000076293945;26.299999237060547;7.809999942779541;38.970001220703125;7.190000057220459;11.65999984741211;27.690000534057617;38.130001068115234;78.75;23.05769157409668;13.15999984741211;9.260000228881836;14.770000457763672;20.139999389648438;34.20000076293945;32.04999923706055;50.43000030517578;3.430000066757202;13.199999809265137;11.479999542236328;7.46999979019165
